Subject,Predicate,Object
:WORK1,lrmoo:R3,:EXPRESSION1
:MANIFESTATION1,lrmoo:R4,:EXPRESSION1
:ITEM3,lrmoo:R7,:MANIFESTATION1
:MANIFESTATION1,rdf:type,lrmoo:F3 Manifestation
:EXPRESSION1,rdf:type,lrmoo:F2 Expression
:WORK1,rdf:type,lrmoo:F1 Work
:ITEM3,rdf:type,lrmoo:F5 Item
:WORK1,lrmoo:R3,:EXPRESSION2
:WORK1,lrmoo:R16 was created by,:CREATION4
:EXPRESSION2,rdf:type,lrmoo:F2 Expression
:EXPRESSION1,cidoc:P102 has title,:TITLE5
:MANIFESTATION1,cidoc:P102 has title,:TITLE3
:MANIFESTATION1,cidoc:P43 has dimension,:DIMENSION1
:MANIFESTATION1,cidoc:P1 is identified by,:ID1
:MANIFESTATION1,schema:publisher,:PUBLISHER2
:ITEM3,cidoc:P50 has current keeper,:ORGANIZATION1
:WORK1,cidoc:P129 is about,:CREATURESGROUP1
:MANIFESTATION1,dcterms:contributor,:PERSON12
:MANIFESTATION1,dcterms:extent,:DIMENSION56
:MANIFESTATION1,dcterms:issued,"""2022""^^xsd:date"
:EXPRESSION1,rdf:type,cidoc:E33 Linguistic Object
:EXPRESSION1,cidoc:P72 has language,:LANGUAGE1
:TITLE5,rdfs:label,"""Monstrorum Historia""^^xsd:string"
:TITLE3,rdfs:label,"""Monstrorum Historia""^^xsd:string"
:DIMENSION1,cidoc:P90 has value,"""28""^^xsd:integer"
:DIMENSION1,cidoc:P91 has unit,"""cm""^^xsd:string"
:ID1,rdfs:label,"""ISBN 9788831982290""^^xsd:string"
:PUBLISHER2,rdfs:label,"""Moscabianca Edizioni""^^xsd:string"
:ORGANIZATION1,schema:foundingDate,"""2001-01-01""^^xsd:date"
:DIMENSION56,rdfs:label,"""319 pages""^^xsd:string"
:PERSON12,foaf:name,"""Lorenzo Peka""^^xsd:string"
:LANGUAGE1,rdfs:label,"""Ita""^^xsd:string"
