Subject,Predicate,Object
:PRINT1,cidoc:P129 is about,:LEGENDARY_CREATURE3
:PRINT1,rdf:type,cidoc:Physical Human-Made Object
:PRINT1,rdf:type,schema:VisualArtwork
:PRINT1,cidoc:P102 has title,:TITLE50
:PRINT1,schema: countryOfOrigin,:COUNTRY50
:PRINT1,cidoc:P43 has dimension,:DIMENSION50
:PRINT1,cidoc:P1 is identified by,:ID50
:PRINT1,dcterms:medium,:MEDIUM50
:PRINT1,cidoc:P50 has current keeper,:ORGANIZATION50
:CREATION50,cidoc:P49 has created,:PRINT1
:TITLE50,rdfs:label,"""Kuwana: The Story of the Sailor Tokuzo, from the series Fifty-three Parallels for the Tokaido""^^xsd:string"
:COUNTRY50,rdfs:label,"""Japan""^^xsd:string"
:DIMENSION50,cidoc:P91 has unit,"""mm""^^xsd:string"
:DIMENSION50,cidoc:P90 has value,"""353x236""^^xsd:string"
:ID50,rdfs:label,"""2004.52""^^xsd:string"
:MEDIUM50,rdfs:label,"""Color woodcut""^^xsd:string"
