Subject,Predicate,Object
:WORK2,lrmoo:R3,:EXPRESSION4
:MANIFESTATION3,lrmoo:R4,:EXPRESSION4
:ITEM2,lrmoo:R7,:MANIFESTATION3
:MANIFESTATION3,rdf:type,lrmoo:F3 Manifestation
:EXPRESSION4,rdf:type,lrmoo:F2 Expression
:WORK2,rdf:type,lrmoo:F1 Work
:ITEM2,rdf:type,lrmoo:F5 Item
:WORK2,cidoc:P129 is about,:CREATURESGROUP2
:EXPRESSION4,cidoc:P102 has title,:TITLE6
:WORK2,rdf:type,schema:VideoGame
:WORK2,schema:genre,"""Action-adventure rpg""^^xsd:string"
:WORK2,lrmoo:R16 was created by,:CREATION5
:EXPRESSION4,cidoc:P72 has language,:LANGUAGE2
:MANIFESTATION3,rdf:type,schema:VideoGame
:EXPRESSION4,schema:gameEdition,"""Game of the Year edition""^^xsd:string"
:MANIFESTATION3,schema:gamePlatform,"""Playstation 4""^^xsd:string"
:MANIFESTATION3,schema:datePublished,"""2016""^^xsd:date"
:MANIFESTATION3,schema:releasedEvent,:RELEASE1
:ITEM2,dcterms:format,"""1 Blue Ray disc: color, audio""^^xsd:string"
:TITLE6,rdfs:label,"""The Witcher 3. Wild Hunt""^^xsd:string"
:LANGUAGE2,rdfs:label,"""Ita""^^xsd:string"
