Subject,Predicate,Object
:PAINTING11,rdf:type,dbo:Painting
:PAINTING11,dcterms:creator,:PERSON3948
:PAINTING11,edm:isHeldBy,:ORGANIZATION11
:PAINTING11,dcterms:PhysicalMedium,:MEDIUM2
:PAINTING11,cidoc:P43 has dimension,:DIMENSION2
:PAINTING11,cidoc:P16 was used for,:ACTIVITY1
:PAINTING11,dcterms:identifier,"""NG6294""^^xsd:string"
:PAINTING11,cidoc:P62 depicts,:LEGENDARY_CREATURE1
:PAINTING11,dbo:basedOn,:TITLE8
:PAINTING11,cidoc:P102 has title,:TITLE7
:PAINTING11,cidoc:P94 was created by ,:CREATION6
:PERSON3948,schema:birthDate,"""1397/06/15""^^xsd:string"
:PERSON3948,schema:deathDate,"""1475-12-10""^^xsd:date"
:ORGANIZATION11,schema:foundingDate,"""1824""^^xsd:string"
:TITLE7,rdfs:label,"""Saint George and the Dragon""^^xsd:string"
:LEGENDARY_CREATURE1,rdfs:label,"""Dragon""^^xsd:string"
:ORGANIZATION11,foaf:name,"""The National Gallery""^^xsd:string"
:MEDIUM2,rdfs:label,"""Oil on Canvas""^^xsd:string"
:DIMENSION2,cidoc:P90 has value,"""55.6×74.2""^^xsd:string"
:DIMENSION2,cidoc:P91 has unit,"""cm""^^xsd:string"
:PERSON3948,foaf:name,"""Paolo Uccello""^^xsd:string"
